FilmID,Writer,Actors,Plot,Language,Country,Awards,Poster
tt0021749,"Charles Chaplin, Harry Carr, Harry Crocker","Charles Chaplin, Virginia Cherrill, Florence Lee","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","None, English",United States,3 wins,https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0049730,"Frank S. Nugent, Alan Le May","John Wayne, Jeffrey Hunter, Vera Miles",An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.,"English, Navajo, Spanish",United States,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BYWQ3YWJiMDEtMDBhNS00YjY1LTkzNmEtY2U4Njg4MjQ3YWE3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0076759,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vad",English,United States,Won 7 Oscars. 63 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0054215,"Joseph Stefano, Robert Bloch","Anthony Perkins, Janet Leigh, Vera Miles","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",English,United States,Nominated for 4 Oscars. 7 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0062622,"Stanley Kubrick, Arthur C. Clarke","Keir Dullea, Gary Lockwood, William Sylvester","The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomput","English, Russian, French","United Kingdom, United States",Won 1 Oscar. 16 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0043014,"Charles Brackett, Billy Wilder, D.M. Marshman Jr.","William Holden, Gloria Swanson, Erich von Stroheim",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,English,United States,Won 3 Oscars. 18 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_SX300.jpg
tt0061722,"Calder Willingham, Buck Henry, Charles Webb","Dustin Hoffman, Anne Bancroft, Katharine Ross",A disillusioned college graduate finds himself torn between his older lover and her daughter.,English,United States,Won 1 Oscar. 21 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ0ODc4MDk4Nl5BMl5BanBnXkFtZTcwMTEzNzgzNA@@._V1_SX300.jpg
tt0017925,"Buster Keaton, Clyde Bruckman, Al Boasberg","Buster Keaton, Marion Mack, Glen Cavender","After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy",English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0047296,"Budd Schulberg, Malcolm Johnson, Robert Siodmak","Marlon Brando, Karl Malden, Lee J. Cobb","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",English,United States,Won 8 Oscars. 30 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
tt0038650,"Frances Goodrich, Albert Hackett, Frank Capra","James Stewart, Donna Reed, Lionel Barrymore",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"English, French",United States,Nominated for 5 Oscars. 6 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg
tt0071315,"Robert Towne, Roman Polanski","Jack Nicholson, Faye Dunaway, John Huston","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","English, Cantonese, Spanish",United States,Won 1 Oscar. 21 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BOGMwYmY5ZmEtMzY1Yi00OWJiLTk1Y2MtMzI2MjBhYmZkNTQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0053291,"Billy Wilder, I.A.L. Diamond, Robert Thoeren","Marilyn Monroe, Tony Curtis, Jack Lemmon","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",English,United States,Won 1 Oscar. 15 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
tt0032551,"Nunnally Johnson, John Steinbeck","Henry Fonda, Jane Darwell, John Carradine","An Oklahoma family driven off their farm by the poverty and hopelessness of the Dust Bowl joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",English,United States,Won 2 Oscars. 10 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNzJiOGI2MjctYjUyMS00ZjkzLWE2ZmUtOTg4NTZkOTNhZDc1L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
tt0083866,Melissa Mathison,"Henry Thomas, Drew Barrymore, Peter Coyote",A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,English,United States,Won 4 Oscars. 52 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
tt0056592,"Harper Lee, Horton Foote","Gregory Peck, John Megna, Frank Overton","Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",English,United States,Won 3 Oscars. 14 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0031679,"Sidney Buchman, Lewis R. Foster, Myles Connolly","James Stewart, Jean Arthur, Claude Rains","A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his char",English,United States,Won 1 Oscar. 6 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
tt0044706,"Carl Foreman, John W. Cunningham","Gary Cooper, Grace Kelly, Thomas Mitchell","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.","English, Spanish",United States,Won 4 Oscars. 17 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BOWIzZGUxZmItOThkMS00Y2QxLTg0MTYtMDdhMjRlNTNlYTI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
tt0042192,"Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"English, French",United States,Won 6 Oscars. 26 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX300.jpg
tt0036775,"Billy Wilder, Raymond Chandler, James M. Cain","Fred MacMurray, Barbara Stanwyck, Edward G. Robinson","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",English,United States,Nominated for 7 Oscars. 2 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZGRiNGQ0NzUtZjczMS00ZjIzLWI4NjAtY2ZiNTM2MGQxZGFiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg
tt0078788,"John Milius, Francis Ford Coppola, Michael Herr","Martin Sheen, Marlon Brando, Robert Duvall",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"English, French, Vietnamese",United States,Won 2 Oscars. 21 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BMDdhODg0MjYtYzBiOS00ZmI5LWEwZGYtZDEyNDU4MmQyNzFkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0033870,"John Huston, Dashiell Hammett","Humphrey Bogart, Mary Astor, Gladys George","San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",English,United States,Nominated for 3 Oscars. 5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BZjIwNGM1ZTUtOThjYS00NDdiLTk2ZDYtNGY5YjJkNzliM2JjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
tt0071562,"Francis Ford Coppola, Mario Puzo","Al Pacino, Robert De Niro, Robert Duvall","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","English, Italian, Spanish, Latin, Sicilian",United States,Won 6 Oscars. 17 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0073486,"Lawrence Hauben, Bo Goldman, Ken Kesey","Jack Nicholson, Louise Fletcher, Michael Berryman","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",English,United States,Won 5 Oscars. 38 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
tt0029583,"Jacob Grimm, Wilhelm Grimm, Ted Sears","Adriana Caselotti, Harry Stockwell, Lucille La Verne","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",English,United States,Won 1 Oscar. 11 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg
tt0075686,"Woody Allen, Marshall Brickman","Woody Allen, Diane Keaton, Tony Roberts","Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.","English, German",United States,Won 4 Oscars. 31 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg
tt0050212,"Pierre Boulle, Carl Foreman, Michael Wilson","William Holden, Alec Guinness, Jack Hawkins","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","English, Japanese, Thai","United Kingdom, United States",Won 7 Oscars. 30 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BOGY5NmNlMmQtYzRlYy00NGQ5LWFkYjYtNzExZmQyMTg0ZDA0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_SX300.jpg
tt0036868,"Robert E. Sherwood, MacKinlay Kantor","Myrna Loy, Dana Andrews, Fredric March","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",English,United States,Won 8 Oscars. 21 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BY2RmNTRjYzctODI4Ni00MzQyLWEyNTAtNjU0N2JkMTNhNjJkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
tt0040897,"John Huston, B. Traven","Humphrey Bogart, Walter Huston, Tim Holt",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"English, Spanish",United States,Won 3 Oscars. 16 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BOTJlZWMxYzEtMjlkMS00ODE0LThlM2ItMDI3NGQ2YjhmMzkxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
tt0057012,"Stanley Kubrick, Terry Southern, Peter George","Peter Sellers, George C. Scott, Sterling Hayden","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","English, Russian","United Kingdom, United States",Nominated for 4 Oscars. 14 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZWI3ZTMxNjctMjdlNS00NmUwLWFiM2YtZDUyY2I3N2MxYTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0059742,"George Hurdalek, Howard Lindsay, Russel Crouse","Julie Andrews, Christopher Plummer, Eleanor Parker",A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"English, German",United States,Won 5 Oscars. 17 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BODIxNjhkYjEtYzUyMi00YTNjLWE1YjktNjAyY2I2MWNkNmNmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
tt0024216,"James Ashmore Creelman, Ruth Rose, Merian C. Cooper","Fay Wray, Robert Armstrong, Bruce Cabot",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,English,United States,3 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BZTY3YjYxZGQtMTM2YS00ZmYwLWFlM2QtOWFlMTU1NTAyZDQ2XkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_SX300.jpg
tt0061418,"David Newman, Robert Benton, Robert Towne","Warren Beatty, Faye Dunaway, Michael J. Pollard","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",English,United States,Won 2 Oscars. 23 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BOTViZmMwOGEtYzc4Yy00ZGQ1LWFkZDQtMDljNGZlMjAxMjhiXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_SX300.jpg
tt0064665,"Waldo Salt, James Leo Herlihy","Dustin Hoffman, Jon Voight, Sylvia Miles","A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.","English, Italian",United States,Won 3 Oscars. 28 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BNTgwZmIzMmYtZjE3Yy00NzgzLTgxNmUtNjlmZDlkMzlhOTJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg
tt0032904,"Donald Ogden Stewart, Philip Barry, Waldo Salt","Cary Grant, Katharine Hepburn, James Stewart","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.","English, French",United States,Won 2 Oscars. 5 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BYjQ4ZDA4NGMtMTkwYi00NThiLThhZDUtZTEzNTAxOWYyY2E4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg
tt0046303,"A.B. Guthrie Jr., Jack Sher, Jack Schaefer","Alan Ladd, Jean Arthur, Van Heflin","A weary gunfighter in 1880s Wyoming begins to envision a quieter life after befriending a homestead family with a young son who idolizes him, but a smoldering range war forces him to act.",English,United States,Won 1 Oscar. 6 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BYzMzZmJjZGItMjY2OC00ZDcxLWI1YjQtMTU1MjQwN2NlNzIyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
tt0025316,"Robert Riskin, Samuel Hopkins Adams","Clark Gable, Claudette Colbert, Walter Connolly","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",English,United States,Won 5 Oscars. 11 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
tt0044081,"Tennessee Williams, Oscar Saul","Vivien Leigh, Marlon Brando, Kim Hunter",Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,"English, Spanish",United States,Won 4 Oscars. 17 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BNzk2M2Y3MzYtNGMzMi00Y2FjLTkwODQtNmExYWU3ZWY3NzExXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg
tt0047396,"John Michael Hayes, Cornell Woolrich","James Stewart, Grace Kelly, Wendell Corey","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",English,United States,Nominated for 4 Oscars. 6 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
tt0006864,"Hettie Grey Baker, Tod Browning, D.W. Griffith","Lillian Gish, Robert Harron, Mae Marsh","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.","None, English",United States,2 wins,https://m.media-amazon.com/images/M/MV5BZTc0YjA1ZjctOTFlZi00NWRiLWE2MTAtZDE1MWY1YTgzOTJjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0120737,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens","Elijah Wood, Ian McKellen, Orlando Bloom",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"English, Sindarin","New Zealand, United States",Won 4 Oscars. 121 wins & 126 nominations total,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg
tt0055614,"Ernest Lehman, Arthur Laurents, Jerome Robbins","Natalie Wood, George Chakiris, Richard Beymer","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.","English, Spanish",United States,Won 10 Oscars. 28 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTM0NDAxOTI5MF5BMl5BanBnXkFtZTcwNjI4Mjg3NA@@._V1_SX300.jpg
tt0075314,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","English, Spanish",United States,Nominated for 4 Oscars. 22 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0077416,"Michael Cimino, Deric Washburn, Louis Garfinkle","Robert De Niro, Christopher Walken, John Cazale",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"English, Vietnamese, French, Russian, Cantonese","United States, United Kingdom",Won 5 Oscars. 24 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0066026,"Richard Hooker, Ring Lardner Jr.","Donald Sutherland, Elliott Gould, Tom Skerritt",The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.,"English, Japanese, Korean",United States,Won 1 Oscar. 14 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMjNjM2NlN2MtOWYyOS00NmY5LThhYjMtMDc1Y2U4OTU4MDNjXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_SX300.jpg
tt0053125,Ernest Lehman,"Cary Grant, Eva Marie Saint, James Mason","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","English, French",United States,Nominated for 3 Oscars. 8 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BZDA3NDExMTUtMDlhOC00MmQ5LWExZGUtYmI1NGVlZWI4OWNiXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
tt0073195,"Peter Benchley, Carl Gottlieb","Roy Scheider, Robert Shaw, Richard Dreyfuss","When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",English,United States,Won 3 Oscars. 15 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
