"item","imdb","itemLabel","itemDescription","article"
"http://www.wikidata.org/entity/Q101245125","tt9469842","Devil's Revenge","2019 film directed by Jared Cohn","https://en.wikipedia.org/wiki/Devil%27s_Revenge"
"http://www.wikidata.org/entity/Q103955657","tt8718158","The Hating Game","2021 film directed by Peter Hutchings","https://en.wikipedia.org/wiki/The_Hating_Game"
"http://www.wikidata.org/entity/Q105805671","tt9352356","The Djinn","2021 film directed by David Charbonier and Justin Powell","https://en.wikipedia.org/wiki/The_Djinn"
"http://www.wikidata.org/entity/Q106238374","tt13717596","Bheemante Vazhi","film directed by Ashraf Hamza","https://en.wikipedia.org/wiki/Bheemante_Vazhi"
"http://www.wikidata.org/entity/Q4292279","tt0102425","Q4292279","1991 film",NA
"http://www.wikidata.org/entity/Q6059520","tt0183332","Kanca","1986 film",NA
"http://www.wikidata.org/entity/Q9332739","tt0096023","Q9332739","1988 film by Ján Piroh",NA
"http://www.wikidata.org/entity/Q10484430","tt0050358","Q10484430","1957 film by Gösta Bernhard",NA
"http://www.wikidata.org/entity/Q10904467","tt6448922","Almost Perfect","2008 film by Wang Yuelun",NA
"http://www.wikidata.org/entity/Q11135305","tt3177116","Profe por accidente","2013 film",NA
"http://www.wikidata.org/entity/Q11816547","tt0354026","Q11816547","1980 film by Rikard Ljarja",NA
"http://www.wikidata.org/entity/Q14757167","tt5547212","Mive-ye gonah","1971 film",NA
"http://www.wikidata.org/entity/Q20001320","tt2523730","Q20001320","2008 film by Marko Raat",NA
"http://www.wikidata.org/entity/Q20890863","tt0261940","Raja Harishchandra","1984 Odia film directed by C. S. Rao",NA
"http://www.wikidata.org/entity/Q21646234","tt10418364","Chinese Horror Story","2015 film",NA
"http://www.wikidata.org/entity/Q25435518","tt0059386","Q25435518","film",NA
"http://www.wikidata.org/entity/Q47450545","tt5992750","Late Blossom Blues","2017 documentary film",NA
"http://www.wikidata.org/entity/Q51324832","tt12030516","Fishpeople","2017 documentary film by Keith Malloy",NA
"http://www.wikidata.org/entity/Q54439094","tt0233958","Q54439094","1961 film by Glauco Pellegrini",NA
"http://www.wikidata.org/entity/Q56849103","tt0234557","Q56849103","1961 film by Werner W. Wallroth",NA
"http://www.wikidata.org/entity/Q58429987","tt0393675","Samudra Manthan","1924 film",NA
"http://www.wikidata.org/entity/Q58540831","tt0230482","Madam Fashion","1936 film",NA
"http://www.wikidata.org/entity/Q60690641","tt9130810","Die Kinder der Toten","2019 film by Kelly Copper and Pavol Liska",NA
"http://www.wikidata.org/entity/Q63860215","tt0005997","The Sable Lorcha","film",NA
"http://www.wikidata.org/entity/Q65032506","tt7620302","Q65032506","1992 film directed by Sylvain L'Espérance",NA
"http://www.wikidata.org/entity/Q65407744","tt8259410","Focusing on the Turquoise Mountain","1978 film directed by Ivo Toman",NA
"http://www.wikidata.org/entity/Q67169405","tt10916112","Josefin & Florin","2019 documentary film",NA
"http://www.wikidata.org/entity/Q67338673","tt9185162","Eine ganz heiße Nummer 2.0","2019 film directed by Rainer Kaufmann",NA
"http://www.wikidata.org/entity/Q67603787","tt10095336","Our Godfather","2019 documentary film by Mark Franchetti and Andrew Meier",NA
"http://www.wikidata.org/entity/Q68190448","tt0477182","Migrants","1991 film by Valeriy Priyomykhov",NA
"http://www.wikidata.org/entity/Q77282172","tt12043600","Al son que me toquen bailo","2019 film",NA
"http://www.wikidata.org/entity/Q82291407","tt0479238","Hedefte İmzam Var","1971 film directed by Çetin İnanç",NA
"http://www.wikidata.org/entity/Q83891383","tt9619446","The Branch","film",NA
"http://www.wikidata.org/entity/Q88093259","tt0244940","12:15am, Room 9","1950 film by Arthur Maria Rabenalt",NA
"http://www.wikidata.org/entity/Q91104903","tt11562724","En Coma","film",NA
"http://www.wikidata.org/entity/Q92746771","tt0123955","Q92746771","film directed by Gustav Ucicky",NA
"http://www.wikidata.org/entity/Q96759977","tt0296182","Q96759977","1948 film directed by Karl Kurzmayer",NA
"http://www.wikidata.org/entity/Q97007308","tt0175016","Otstupnik","film directed by Valeri Rubinchik",NA
"http://www.wikidata.org/entity/Q99767367","tt0046433","Q99767367","film",NA
"http://www.wikidata.org/entity/Q99767789","tt0084706","Q99767789","film",NA
"http://www.wikidata.org/entity/Q100146066","tt0036802","Eugenia de Montijo","1944 Spanish film",NA
"http://www.wikidata.org/entity/Q103692828","tt0086252","The Swing","1983 film by Percy Adlon",NA
"http://www.wikidata.org/entity/Q104897467","tt5775302","Sezn@mka","2016 film by Zita Marinovová",NA
"http://www.wikidata.org/entity/Q106717059","tt0074538","Attempted Flight","1976 film by Vojtěch Jasný",NA
"http://www.wikidata.org/entity/Q106717110","tt0077782","Q106717110","1978 film by Herbert Achternbusch",NA
"http://www.wikidata.org/entity/Q106717182","tt0165836","Q106717182","1981 film by Dieter Meier",NA
"http://www.wikidata.org/entity/Q106771516","tt13328854","Kiljuset!","2022 film directed by Reetta Huhtanen",NA
"http://www.wikidata.org/entity/Q107355354","tt0220024","Q107355354","film",NA
"http://www.wikidata.org/entity/Q109981247","tt13316756","Till Sun Rises","2021 film directed by Peter Dalle",NA
"http://www.wikidata.org/entity/Q110323747","tt0183129","Goodbye Gibraltar","film",NA
"http://www.wikidata.org/entity/Q110678316","tt0452540","Võlausaldajad","1992 film by Jaan Kolberg",NA
"http://www.wikidata.org/entity/Q111802583","tt0243390","Lotat (1995)","1995 film directed by Taru Mäkelä",NA
"http://www.wikidata.org/entity/Q111853636","tt0087405","Heart Beat","1985 film by Walter Bannert",NA
"http://www.wikidata.org/entity/Q111899797","tt14072910","The Adventures of Maid Marian","2022 film directed by Bill Thomas",NA
"http://www.wikidata.org/entity/Q113099692","tt0050852","Posledná bosorka","film directed by Vladimír Bahna",NA
"http://www.wikidata.org/entity/Q115681325","tt0399427","Q115681325","1982 film by James Jacobs and Günter Seltmann",NA
"http://www.wikidata.org/entity/Q120478276","tt4257118","Q120478276","film directed by Ján Piroh",NA
"http://www.wikidata.org/entity/Q120885677","tt27033308","Cinéma Laika","Documentary film directed by Veljko Vidak (2023)",NA
"http://www.wikidata.org/entity/Q122480482","tt1532498","Autumn of the Magician","2009 film directed by Ruben Gevorkyants, Vahe Kevorkov",NA
"http://www.wikidata.org/entity/Q123614097","tt2099698","Q123614097",NA,NA
"http://www.wikidata.org/entity/Q108919489","tt15006566","The Beasts","2022 film directed by Rodrigo Sorogoyen","https://en.wikipedia.org/wiki/The_Beasts_(2022_film)"
"http://www.wikidata.org/entity/Q111526747","tt14230846","Saunkan Saunkne","2022 film directed by Amarjit Singh Saron","https://en.wikipedia.org/wiki/Saunkan_Saunkne"
"http://www.wikidata.org/entity/Q111549435","tt15471560","Smoking Causes Coughing","2022 film directed by Mr. Oizo","https://en.wikipedia.org/wiki/Smoking_Causes_Coughing"
"http://www.wikidata.org/entity/Q112073561","tt16393520","Jayamma Panchayathi","2022 film directed by Vijay Kumar Kalivarapu","https://en.wikipedia.org/wiki/Jayamma_Panchayathi"
"http://www.wikidata.org/entity/Q112183099","tt17663992","Scream VI","2023 film directed by Matt Bettinelli-Olpin and Tyler Gillett","https://en.wikipedia.org/wiki/Scream_VI"
"http://www.wikidata.org/entity/Q113696381","tt0065965","The Last Act of Martin Weston","1970 film by Martin Jacot","https://en.wikipedia.org/wiki/The_Last_Act_of_Martin_Weston"
"http://www.wikidata.org/entity/Q116458064","tt20414550","Together 99","2023 film directed by Lukas Moodysson","https://en.wikipedia.org/wiki/Together_99"
"http://www.wikidata.org/entity/Q120913878","tt15330850","Gaucho Americano","2021 Chilean film","https://en.wikipedia.org/wiki/Gaucho_Americano"
"http://www.wikidata.org/entity/Q121085764","tt13815702","Bajre Da Sitta","2022 Indian film","https://en.wikipedia.org/wiki/Bajre_Da_Sitta"
"http://www.wikidata.org/entity/Q4005","tt0232883","Vaa Arugil Vaa","1991 film directed by Kalaivanan Kannadasan","https://en.wikipedia.org/wiki/Vaa_Arugil_Vaa"
"http://www.wikidata.org/entity/Q689728","tt0029880","Army Girl","1938 film by George Nicholls, Jr.","https://en.wikipedia.org/wiki/Army_Girl"
"http://www.wikidata.org/entity/Q3105364","tt0030180","Gibraltar","1938 French film by Fjodor Alexandrowitsch Ozep","https://en.wikipedia.org/wiki/Gibraltar_(1938_film)"
"http://www.wikidata.org/entity/Q4069532","tt0130392","Armavir","1991 film by Vadim Abdrashitov","https://en.wikipedia.org/wiki/Armavir_(film)"
"http://www.wikidata.org/entity/Q4661178","tt0402741","Aag Laga Do Sawan Ko","1991 film","https://en.wikipedia.org/wiki/Aag_Laga_Do_Sawan_Ko"
"http://www.wikidata.org/entity/Q5281068","tt12748344","Silk Sakkath Maga","2013 film directed by Trishul","https://en.wikipedia.org/wiki/Silk_Sakkath_Hot"
"http://www.wikidata.org/entity/Q6036991","tt0091267","Insaaf Ki Awaaz","1986 film by D. Ramanaidu","https://en.wikipedia.org/wiki/Insaaf_Ki_Awaaz"
"http://www.wikidata.org/entity/Q7278415","tt1473107","Raani Samyuktha","1962 Tamil film directed by Dasari Yoganand","https://en.wikipedia.org/wiki/Rani_Samyuktha"
"http://www.wikidata.org/entity/Q7378850","tt0152244","Rukavička","1941 film by Jan Alfréd Holman","https://en.wikipedia.org/wiki/Rukavi%C4%8Dka"
"http://www.wikidata.org/entity/Q7710641","tt0320608","Thanthu Vitten Ennai","1991 Tamil film directed by C. V. Sridhar","https://en.wikipedia.org/wiki/Thanthu_Vitten_Ennai"
"http://www.wikidata.org/entity/Q7762654","tt0010186","The Scourge of God","1920 film by Michael Curtiz","https://en.wikipedia.org/wiki/The_Scourge_of_God_(film)"
"http://www.wikidata.org/entity/Q7785410","tt15456576","Thirupathi Ezhumalai Venkatesa","1999 Tamil film directed by Rama Narayanan","https://en.wikipedia.org/wiki/Thirupathi_Ezhumalai_Venkatesa"
"http://www.wikidata.org/entity/Q7801488","tt0015416","Tiger Thompson","1924 film by B. Reeves Eason","https://en.wikipedia.org/wiki/Tiger_Thompson"
"http://www.wikidata.org/entity/Q8046329","tt12837388","Yaare Koogadali","2012 film by Samuthirakani","https://en.wikipedia.org/wiki/Yaare_Koogadali"
"http://www.wikidata.org/entity/Q10577565","tt0040572","Carnival Evening","1948 film by Ivar Johansson","https://en.wikipedia.org/wiki/Carnival_Evening"
"http://www.wikidata.org/entity/Q13011992","tt0257212","Swarna Manjari","1962 film directed by Vedantam Raghavaiah","https://en.wikipedia.org/wiki/Swarna_Manjari"
"http://www.wikidata.org/entity/Q14952720","tt0020178","Taxi at Midnight","1929 film","https://en.wikipedia.org/wiki/Taxi_at_Midnight"
"http://www.wikidata.org/entity/Q15411105","tt0174757","Hroch","1973 film","https://en.wikipedia.org/wiki/Hroch"
"http://www.wikidata.org/entity/Q16254320","tt0256393","Siri Sampadalu","1962 film by P. Pullaiah","https://en.wikipedia.org/wiki/Siri_Sampadalu"
"http://www.wikidata.org/entity/Q24883748","tt6664180","Thai Pirandhal Vazhi Pirakkum","1958 film","https://en.wikipedia.org/wiki/Thai_Pirandhal_Vazhi_Pirakkum"
"http://www.wikidata.org/entity/Q26963165","tt6449114","Days of Our Own","2016 film","https://en.wikipedia.org/wiki/Days_of_Our_Own"
"http://www.wikidata.org/entity/Q33100679","tt6478512","Hastrman","2018 film directed by Ondřej Havelka","https://en.wikipedia.org/wiki/Hastrman"
"http://www.wikidata.org/entity/Q39073518","tt0247239","Ladies in Waiting","1940 film directed by Vladimír Borský","https://en.wikipedia.org/wiki/Ladies_in_Waiting_(film)"
"http://www.wikidata.org/entity/Q46604721","tt6624144","A Good Woman Is Hard to Find","film directed by Abner Pastoll","https://en.wikipedia.org/wiki/A_Good_Woman_Is_Hard_to_Find"
"http://www.wikidata.org/entity/Q48760469","tt0159087","Holiday","1931 film directed by Robert Boudrioz","https://en.wikipedia.org/wiki/Holiday_(1931_film)"
"http://www.wikidata.org/entity/Q55604143","tt0345195","Archduke John","1929 Austrian silent historical drama film directed by Max Neufeld","https://en.wikipedia.org/wiki/Archduke_John_(film)"
"http://www.wikidata.org/entity/Q58762348","tt0010955","Alias Miss Dodd","1920 film directed by Harry L. Franklin","https://en.wikipedia.org/wiki/Alias_Miss_Dodd"
"http://www.wikidata.org/entity/Q59554679","tt4648510","She Taxi","2015 Malayalam-language Indian film directed by Saji Surendran","https://en.wikipedia.org/wiki/She_Taxi_(film)"
